Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 2908 4567
Dim 2: 2040 4909
Dim 3: 4672 4180
Object coordinates:
324: 43.712246 71.770549 88.567140
325: 110.160092 92.968903 101.464709
326: 93.578222 75.716519 134.778178
327: 136.178202 79.590454 83.140632
328: 117.304518 74.781535 80.126995
329: 111.134054 95.689017 58.090601
330: 44.813748 76.424455 85.971187
331: 123.009107 115.819629 46.394965
332: 102.161859 143.728254 80.874701
333: 118.113014 65.640675 95.771734
334: 145.784398 136.499757 125.602276
335: 61.103883 88.356108 74.276789
336: 140.902116 108.508324 87.448435
337: 91.571273 46.865632 122.537088
338: 95.300869 128.094812 58.697382
339: 110.948482 104.861679 92.902831
340: 71.760146 85.172029 126.299361
341: 81.771114 112.815833 11.468238
342: 106.885312 58.116306 112.081677
343: 54.748179 64.389445 87.427132
344: 85.381117 86.765579 34.990650
345: 101.499482 165.332645 91.775992
346: 96.182562 106.685688 110.709583
347: 41.334742 78.302503 132.566413
348: 73.465834 94.548988 82.779910
349: 126.584047 113.241089 96.034007
350: 58.227173 99.741335 72.720271
351: 79.935596 125.933542 68.083368
352: 120.776218 112.858855 110.413883
353: 78.782811 123.393585 117.445143
354: 75.232478 46.152934 103.667186
355: 98.486769 40.133939 111.224597
356: 35.949769 100.262186 85.563517
357: 81.929372 80.457407 79.984654
358: 108.972638 104.572811 74.593822
359: 100.755068 62.678958 142.439033
360: 74.070973 50.326596 62.833330
361: 106.493738 108.702740 112.312038
362: 69.127487 50.961066 82.027465
363: 111.974492 75.174586 88.751838
364: 54.791408 113.726320 111.653955
365: 64.862765 109.762577 92.692150
366: 59.236203 106.829107 67.264303
367: 77.554935 54.571799 103.329287
368: 108.676750 91.978182 98.470317
369: 42.572854 104.907486 88.503940
370: 156.321092 112.596696 81.994851
371: 110.860777 55.942667 104.100594
372: 82.145988 111.617175 56.243774
373: 81.782036 124.496097 57.429939
374: 43.040556 139.822732 67.720674
375: 65.433448 116.551060 103.679936
376: 106.217499 54.099962 100.458504
377: 93.061142 94.543896 130.696469
378: 62.459765 81.631209 43.451164
379: 67.899681 152.742955 101.822300
380: 87.774358 129.423529 29.096672
381: 146.335828 105.034381 76.069580
382: 49.392297 58.247186 137.210254
