Algorithm: FastMap
Target dimensions: 2
Pivots per dimension:
Dim 1: 6115 4085
Dim 2: 8062 7500
Object coordinates:
530: 70.423971 114.706308
531: 141.699557 115.196151
532: 100.291315 63.134764
533: 122.079210 77.906304
534: 83.565739 135.102567
535: 89.569305 94.624193
536: 88.539747 83.426765
537: 94.287100 82.647643
538: 120.567760 107.314920
539: 63.436161 100.789965
540: 154.688393 107.825838
541: 81.288002 123.825755
542: 71.710300 130.522490
543: 97.181389 103.823768
544: 80.557843 73.254230
545: 114.614224 104.886001
546: 77.841002 89.390340
547: 140.628544 126.238988
548: 99.818613 118.873734
549: 124.400327 115.806315
550: 71.685067 105.634672
551: 64.652603 125.667045
552: 89.419874 55.053282
553: 75.903817 103.239337
554: 76.883288 146.798946
555: 108.639306 130.875824
556: 99.313684 130.785867
557: 125.734396 131.693523
558: 108.996553 99.367001
559: 158.609718 128.470980
560: 68.959045 72.646073
561: 139.439257 76.720746
562: 117.632660 53.466197
563: 94.944099 82.284906
564: 52.521543 89.799086
565: 46.168185 67.995182
566: 92.589433 110.704106
567: 58.180184 112.325119
568: 147.581614 106.480107
569: 95.955132 80.686973
570: 75.030221 100.091062
571: 106.475582 83.141744
572: 94.346789 125.787864
573: 43.287494 58.428465
574: 65.781161 128.675892
575: 87.591620 58.289254
576: 118.475137 115.651783
577: 77.691542 92.130605
578: 105.549411 93.887221
579: 36.411788 81.000154
580: 82.619255 42.942994
581: 72.269228 70.865325
582: 127.520464 104.820655
583: 120.340700 45.490835
584: 88.330637 108.181914
585: 147.985640 101.741659
586: 107.721271 80.268794
587: 82.688029 56.137187
588: 56.205082 100.559979
589: 101.743391 135.408121
590: 81.187126 95.944679
591: 135.256332 91.049743
592: 125.137945 106.645398
593: 92.789980 51.870386
594: 70.172647 70.268145
595: 135.166606 139.737174
596: 97.338323 73.616309
597: 35.227277 91.154354
598: 84.301853 151.120028
599: 104.365655 106.687571
600: 44.749613 76.526124
601: 117.766118 85.223673
602: 126.924856 78.985099
603: 82.917979 114.629518
604: 110.110470 92.238977
605: 101.836726 147.096903
606: 113.254038 152.017568
607: 108.448325 107.977964
608: 96.759628 46.574302
609: 45.080709 77.038571
610: 120.475774 164.286146
611: 140.710067 84.209191
612: 82.840286 124.714715
613: 100.474535 90.253100
614: 112.048267 123.445642
615: 119.320077 140.906535
616: 122.821646 96.543195
617: 64.953716 139.958363
618: 64.683694 85.848271
619: 113.926129 111.557486
620: 88.910123 85.672670
621: 58.611580 84.291657
622: 103.805037 78.419315
623: 110.216108 33.972909
624: 147.108996 148.731394
625: 123.276449 75.845466
626: 143.381166 109.935362
627: 122.471058 89.298248
628: 139.894974 89.184645
629: 83.098897 89.244902
630: 115.464915 99.984398
631: 17.449819 83.804868
632: 50.360439 64.552553
633: 135.049793 103.644818
634: 146.402683 104.337355
635: 43.885504 112.664925
636: 99.999748 72.839155
637: 116.064272 124.200692
638: 137.205936 135.561605
639: 85.577724 112.148649
640: 14.420261 109.438195
641: 139.431402 91.698508
642: 63.751241 154.723202
643: 90.137645 55.876157
644: 53.931047 112.454008
645: 79.998778 55.626511
646: 105.506901 105.504461
647: 69.018344 88.467004
648: 42.312042 64.266474
649: 149.002003 124.353533
650: 88.211414 126.912545
651: 66.537480 96.351633
652: 135.156604 56.578759
653: 56.855806 98.478571
654: 72.758951 136.156717
655: 95.386867 70.073299
656: 95.569572 78.860330
657: 78.917283 108.606962
658: 78.480217 107.566913
659: 117.741539 66.002503
660: 95.565358 82.954663
661: 36.858850 72.340165
662: 76.078852 120.481528
663: 93.963292 50.759361
664: 86.990036 110.517040
665: 90.542631 84.541916
